force_id,force_name,lord_pid,lord_name,member_count
0,无,197,小寺政职,375
1,浅井家,16,浅井长政,15
2,朝仓家,23,朝仓义景,11
3,足利家,29,足利义昭,8
4,芦名家,32,芦名盛氏,42
5,阿苏家,36,阿苏惟将,2
6,姊小路家,42,姊小路赖纲,1
8,安东家,215,蛎崎季广,7
9,一条家,10,安艺国虎,5
10,一色家,93,一色义道,4
11,伊东家,98,伊东义祐,3
12,今川家,109,今川氏真,5
13,宇都宫家,136,宇都宫广纲,5
14,浦上家,140,浦上宗景,15
15,大崎家,85,一栗放牛,3
17,大友家,167,大友宗麟,23
18,小田家,188,小田氏治,1
19,织田家,195,织田信长,107
20,小野寺家,204,小野寺辉道,3
21,葛西家,219,葛西晴信,1
22,北畠家,259,北畠具教,7
23,肝付家,270,肝付良兼,4
24,河野家,301,河野通宣,5
25,德川家,506,德川家康,40
26,相良家,337,相良义阳,7
27,佐竹家,347,佐竹义重,8
28,里见家,352,里见义尧,7
29,斯波家,378,斯波诠真,2
30,岛津家,389,岛津贵久,24
31,神保家,408,神保长职,5
32,相马家,427,相马盛胤,3
33,宗家,429,宗义调,3
34,大宝寺家,435,大宝寺义氏,1
35,武田家,449,武田信玄,33
36,伊达家,464,伊达辉宗,21
37,长宗我部家,483,长宗我部元亲,22
38,筒井家,493,筒井顺庆,6
39,上杉家,257,北条高广,27
40,南部家,557,南部晴政,8
41,三好家,709,三好义继,1
42,长家,485,长续连,4
43,波多野家,583,波多野秀治,5
44,北条家,630,北条氏康,22
45,本愿寺,647,本愿寺显如,13
47,松浦家,684,松浦隆信,4
48,三村家,697,三村元亲,1
49,三好家,703,三好长逸,11
50,毛利家,47,天野隆重,34
51,最上家,725,最上义守,8
52,山名家,758,山名祐丰,4
53,结城家,763,结城晴朝,2
54,龙造寺家,785,龙造寺隆信,15
55,椎名家,367,椎名康胤,1
70,无,840,尼子诚久,4
71,无,97,伊藤惣十郎,4
72,无,848,井上元兼,7
73,无,111,宇野藤右卫门,4
74,坂田屋,121,坂田源右卫门,4
75,越后屋,289,藏田五郎左,4
76,小西屋,313,小西隆佐,5
77,大西屋,384,涩谷与右卫门,4
78,博多屋,865,忍者,4
79,茶屋,870,忍者,6
80,下关屋,873,忍者,5
81,天王寺屋,418,津田宗及,4
82,友野屋,576,友野二郎兵卫,4
83,梁田屋,782,梁田藤左卫门,4
84,组屋,885,忍者,4
85,川舟屋,888,忍者,4
86,镫屋,65,池田惣左卫门,4
87,神屋,895,忍者,4
90,黑胫巾众,749,柳原户兵卫,6
91,户隐众,94,出浦盛清,6
92,风魔众,561,二曲轮猪助,7
93,,911,忍者,4
94,透波众,231,加藤段藏,7
95,甲贺众,411,杉谷善住坊,8
96,伊贺众,63,伊贺崎道顺,10
97,根来众,412,杉之坊照算,5
98,,932,商人,4
99,外闻众,350,佐田彦四郎,6
100,,940,商人,4
101,,944,商人,4
105,,949,商人,4
106,房总水军,952,商人,6
107,相模水军,956,商人,6
108,骏河水军,961,商人,9
109,熊野水军,967,商人,6
110,丹后水军,971,商人,5
111,淡路水军,972,商人,7
112,盐饱水军,977,海贼,5
113,村上水军,981,海贼,7
114,土佐水军,984,海贼,5
115,丰后水军,988,海贼,5
116,五岛水军,992,海贼,6
117,,997,海贼,4
121,无,633,宝藏院胤荣,180
